File Size(MB),Number of segment,c distribution,delta,Theoretical redundancy,Actual redundancy,reed solomon,GC content per strand,Number of backtrack,Total DNA sequence,Theoretical DNA sequence,Average degree,Single degree droplets,Sequence discarded,Decoded status,decoding cross checked,Insertion percentage,Mutation Percentage,deletion percentage,strand deletion percentage,Total mutation,Total deletion,Total Insertion,Total Strand deletion,Error concentrated in start and end,Encoding time,Decoding time,Information density (bits/nt),Total affected sequence for insertion error, total affected sequence for deletion error,Total affected sequence for mutation error,Percentage of affected sequence for insertion error, Percentage of affected sequence for mutation error, percentage of affected sequence for deletion error,Sequence affected by all kinds of error,Percentage of sequence affected by all kinds of error
0.5,32768,0.025,0.001,0.1,15.14,2,0.0,2121500,37728,36045,0.0,77,4243,1,1,0.0,0.0,0.0,0,0,0,0,0,1,31.993825912475586,6.918478965759277,0.8422134834348575,0,0,0,0.0,0.0,0.0,0,0.0
0.5,32768,0.025,0.001,0.1,15.14,2,0.0,2121500,37728,36045,0.0,77,4243,1,1,0.0,0.02,0.0,0,754,0,0,0,1,31.993825912475586,7.150680780410767,0.8422134834348575,0,0,749,0.0,1.99,0.0,749,1.99
0.5,32768,0.025,0.001,0.1,15.14,2,0.0,2121500,37728,36045,0.0,77,4243,1,1,0.0,0.04,0.0,0,1509,0,0,0,0,31.993825912475586,6.832939863204956,0.8422134834348575,0,0,1467,0.0,3.89,0.0,1467,3.89
0.5,32768,0.025,0.001,0.1,15.14,2,0.0,2121500,37728,36045,0.0,77,4243,1,1,0.0,0.0,0.02,0,0,754,0,0,1,31.993825912475586,6.989087820053101,0.8422134834348575,0,750,0,0.0,0.0,1.99,750,1.99
0.5,32768,0.025,0.001,0.1,15.14,2,0.0,2121500,37728,36045,0.0,77,4243,1,1,0.0,0.02,0.02,0,754,754,0,0,0,31.993825912475586,6.834074020385742,0.8422134834348575,0,745,746,0.0,1.98,1.97,1480,3.92
0.5,32768,0.025,0.001,0.1,15.14,2,0.0,2121500,37728,36045,0.0,77,4243,1,1,0.0,0.04,0.02,0,1509,754,0,0,1,31.993825912475586,6.939301252365112,0.8422134834348575,0,745,1477,0.0,3.91,1.97,2197,5.82
0.5,32768,0.025,0.001,0.1,15.14,2,0.0,2121500,37728,36045,0.0,77,4243,1,1,0.0,0.0,0.04,0,0,1509,0,0,1,31.993825912475586,6.7824671268463135,0.8422134834348575,0,1477,0,0.0,0.0,3.91,1477,3.91
0.5,32768,0.025,0.001,0.1,15.14,2,0.0,2121500,37728,36045,0.0,77,4243,1,1,0.0,0.02,0.04,0,754,1509,0,0,0,31.993825912475586,6.926302909851074,0.8422134834348575,0,1482,748,0.0,1.98,3.93,2199,5.83
0.5,32768,0.025,0.001,0.1,15.14,2,0.0,2121500,37728,36045,0.0,77,4243,1,1,0.0,0.04,0.04,0,1509,1509,0,0,0,31.993825912475586,7.0097668170928955,0.8422134834348575,0,1470,1483,0.0,3.93,3.9,2896,7.68
0.5,32768,0.025,0.001,0.1,15.14,2,0.0,2121500,37728,36045,0.0,77,4243,1,1,0.02,0.0,0.0,0,0,0,754,0,1,31.993825912475586,6.861804962158203,0.8422134834348575,740,0,0,1.96,0.0,0.0,740,1.96
