File Size(MB),Number of segment,c distribution,delta,Theoretical redundancy,Actual redundancy,reed solomon,GC content per strand,Number of backtrack,Total DNA sequence,Theoretical DNA sequence,Average degree,Single degree droplets,Sequence discarded,Decoded status,decoding cross checked,Insertion percentage,Mutation Percentage,deletion percentage,strand deletion percentage,Total mutation,Total deletion,Total Insertion,Total Strand deletion,Error concentrated in start and end,Encoding time,Decoding time,Information density (bits/nt),Total affected sequence for insertion error, total affected sequence for deletion error,Total affected sequence for mutation error,Percentage of affected sequence for insertion error, Percentage of affected sequence for mutation error, percentage of affected sequence for deletion error,Sequence affected by all kinds of error,Percentage of sequence affected by all kinds of error
0.5,32768,0.025,0.001,0.1,15.05,2,0.0,2194500,37701,36045,0.0,85,4389,1,1,0,0,0,0,0,0,0,0,1,33.31345081329346,6.6417317390441895,0.8428166442012228,0,0,0,0.0,0.0,0.0,0,0.0
0.5,32768,0.025,0.001,0.1,15.05,2,0.0,2194500,37701,36045,0.0,85,4389,1,1,0.013333333333333332,0.0,0.026666666666666665,0,0,1005,502,0,0,33.31345081329346,6.777640342712402,0.8428166442012228,498,988,0,1.32,0.0,2.62,1473,3.91
0.5,32768,0.025,0.001,0.1,15.05,2,0.0,2194500,37701,36045,0.0,85,4389,1,1,0.0,0.035555555555555556,0.0044444444444444444,0,1340,167,0,0,1,33.31345081329346,6.728109836578369,0.8428166442012228,0,167,1318,0.0,3.5,0.44,1480,3.93
0.5,32768,0.025,0.001,0.1,15.05,2,0.0,2194500,37701,36045,0.0,85,4389,1,1,0.035555555555555556,0.04,0.008888888888888889,0,1508,335,1340,0,0,33.31345081329346,6.831678628921509,0.8428166442012228,1323,332,1474,3.51,3.91,0.88,3047,8.08
0.5,32768,0.025,0.001,0.1,15.05,2,0.0,2194500,37701,36045,0.0,85,4389,1,1,0.026666666666666665,0.008888888888888889,0.0,0,335,0,1005,0,0,33.31345081329346,6.719480991363525,0.8428166442012228,986,0,331,2.62,0.88,0.0,1304,3.46
0.5,32768,0.025,0.001,0.1,15.05,2,0.0,2194500,37701,36045,0.0,85,4389,1,1,0.03111111111111111,0.0,0.04,0,0,1508,1172,0,0,33.31345081329346,6.777614116668701,0.8428166442012228,1153,1480,0,3.06,0.0,3.93,2579,6.84
0.5,32768,0.025,0.001,0.1,15.05,2,0.0,2194500,37701,36045,0.0,85,4389,1,1,0.0044444444444444444,0.026666666666666665,0.008888888888888889,0,1005,335,167,0,1,33.31345081329346,6.780415773391724,0.8428166442012228,167,331,992,0.44,2.63,0.88,1474,3.91
0.5,32768,0.025,0.001,0.1,15.05,2,0.0,2194500,37701,36045,0.0,85,4389,1,1,0.035555555555555556,0.013333333333333332,0.013333333333333332,0,502,502,1340,0,1,33.31345081329346,6.667479038238525,0.8428166442012228,1323,498,498,3.51,1.32,1.32,2289,6.07
0.5,32768,0.025,0.001,0.1,15.05,2,0.0,2194500,37701,36045,0.0,85,4389,1,1,0.0044444444444444444,0.022222222222222223,0.03111111111111111,0,837,1172,167,0,1,33.31345081329346,6.778146982192993,0.8428166442012228,167,1147,835,0.44,2.21,3.04,2117,5.62
0.5,32768,0.025,0.001,0.1,15.05,2,0.0,2194500,37701,36045,0.0,85,4389,1,1,0.0044444444444444444,0.04,0.0,0,1508,0,167,0,0,33.31345081329346,6.7311506271362305,0.8428166442012228,167,0,1475,0.44,3.91,0.0,1637,4.34
1.5,98304,0.025,0.001,0.1,12.89,2,0.0,6370500,110980,108135,0.0,155,12741,1,1,0,0,0,0,0,0,0,0,1,102.34575772285461,22.471269607543945,0.8589393666344468,0,0,0,0.0,0.0,0.0,0,0.0
1.5,98304,0.025,0.001,0.1,12.89,2,0.0,6370500,110980,108135,0.0,155,12741,-1,0,0.04,0.022222222222222223,0.04,0,2466,4439,4439,0,1,102.34575772285461,18.96226668357849,0.8589393666344468,4354,4343,2444,3.92,2.2,3.91,10805,9.74
1.5,98304,0.025,0.001,0.1,12.89,2,0.0,6370500,110980,108135,0.0,155,12741,1,1,0.017777777777777778,0.035555555555555556,0.013333333333333332,0,3945,1479,1972,0,1,102.34575772285461,22.50914978981018,0.8589393666344468,1957,1465,3887,1.76,3.5,1.32,7176,6.47
1.5,98304,0.025,0.001,0.1,12.89,2,0.0,6370500,110980,108135,0.0,155,12741,1,1,0.035555555555555556,0.03111111111111111,0.03111111111111111,0,3452,3452,3945,0,1,102.34575772285461,22.5863037109375,0.8589393666344468,3863,3410,3399,3.48,3.06,3.07,10338,9.32
